iter	Passed	Remaining
0	75	75617
1	96	48060
2	120	40037
3	145	36301
4	168	33463
5	191	31642
6	218	31045
7	246	30602
8	271	29884
9	303	30022
10	324	29198
11	349	28800
12	370	28148
13	392	27619
14	413	27135
15	435	26802
16	466	27002
17	489	26687
18	506	26140
19	521	25575
20	543	25332
21	563	25038
22	583	24792
23	606	24667
24	629	24538
25	649	24321
26	667	24065
27	686	23827
28	704	23583
29	722	23365
30	742	23220
31	763	23080
32	782	22933
33	801	22770
34	825	22761
35	849	22735
36	873	22724
37	895	22676
38	922	22738
39	945	22697
40	966	22613
41	985	22469
42	1005	22386
43	1023	22245
44	1042	22132
45	1061	22017
46	1082	21954
47	1097	21758
48	1116	21661
49	1134	21554
50	1150	21401
51	1165	21242
52	1184	21163
53	1204	21097
54	1222	21008
55	1242	20947
56	1260	20855
57	1285	20877
58	1307	20848
59	1330	20849
60	1353	20833
61	1375	20813
62	1390	20685
63	1409	20608
64	1425	20499
65	1443	20423
66	1467	20435
67	1489	20409
68	1512	20403
69	1532	20355
70	1548	20267
71	1569	20228
72	1588	20177
73	1605	20093
74	1623	20019
75	1639	19933
76	1660	19904
77	1682	19890
78	1701	19832
79	1724	19827
80	1741	19752
81	1759	19699
82	1779	19657
83	1798	19609
84	1815	19541
85	1831	19467
86	1857	19494
87	1881	19496
88	1903	19487
89	1924	19463
90	1943	19411
91	1962	19369
92	1980	19311
93	1997	19257
94	2015	19198
95	2034	19154
96	2050	19086
97	2067	19030
98	2087	18995
99	2108	18975
100	2126	18932
101	2144	18884
102	2163	18841
103	2179	18774
104	2196	18726
105	2215	18686
106	2229	18605
107	2244	18540
108	2265	18520
109	2280	18453
110	2301	18431
111	2323	18425
112	2340	18371
113	2359	18340
114	2378	18304
115	2398	18278
116	2415	18228
117	2430	18163
118	2449	18132
119	2468	18102
120	2484	18049
121	2502	18012
122	2522	17985
123	2541	17953
124	2560	17923
125	2575	17862
126	2591	17811
127	2608	17771
128	2625	17724
129	2645	17705
130	2663	17665
131	2683	17645
132	2700	17600
133	2717	17560
134	2736	17533
135	2757	17519
136	2775	17485
137	2795	17460
138	2812	17421
139	2829	17382
140	2850	17366
141	2866	17317
142	2883	17280
143	2902	17256
144	2921	17228
145	2942	17213
146	2962	17189
147	2982	17166
148	3002	17149
149	3018	17103
150	3034	17060
151	3051	17025
152	3068	16985
153	3083	16938
154	3101	16906
155	3115	16853
156	3137	16847
157	3175	16920
158	3250	17194
159	3281	17228
160	3305	17225
161	3325	17200
162	3345	17178
163	3364	17151
164	3384	17128
165	3405	17107
166	3427	17094
167	3445	17062
168	3458	17007
169	3475	16968
170	3495	16945
171	3508	16889
172	3526	16856
173	3545	16831
174	3569	16825
175	3588	16799
176	3608	16776
177	3625	16744
178	3646	16727
179	3686	16793
180	3722	16843
181	3757	16886
182	3779	16873
183	3802	16865
184	3822	16838
185	3839	16802
186	3855	16762
187	3872	16724
188	3891	16699
189	3904	16646
190	3925	16627
191	3943	16593
192	3958	16552
193	3978	16528
194	3998	16506
195	4019	16486
196	4044	16486
197	4064	16461
198	4085	16443
199	4101	16404
200	4122	16387
201	4140	16358
202	4157	16323
203	4179	16306
204	4199	16285
205	4219	16264
206	4242	16253
207	4260	16221
208	4279	16197
209	4296	16164
210	4319	16150
211	4339	16130
212	4358	16103
213	4377	16077
214	4397	16056
215	4418	16037
216	4438	16014
217	4458	15991
218	4479	15973
219	4495	15940
220	4518	15927
221	4537	15902
222	4556	15876
223	4575	15851
224	4596	15832
225	4618	15818
226	4638	15794
227	4657	15770
228	4681	15761
229	4696	15724
230	4716	15700
231	4735	15674
232	4751	15642
233	4773	15624
234	4795	15609
235	4871	15769
236	4893	15752
237	4919	15750
238	4948	15755
239	4989	15800
240	5016	15800
241	5051	15820
242	5084	15838
243	5100	15802
244	5116	15767
245	5131	15727
246	5149	15698
247	5174	15690
248	5197	15676
249	5229	15687
250	5252	15674
251	5272	15649
252	5291	15624
253	5309	15592
254	5325	15558
255	5343	15530
256	5361	15501
257	5381	15476
258	5401	15453
259	5422	15432
260	5445	15418
261	5465	15396
262	5484	15367
263	5502	15339
264	5518	15305
265	5533	15268
266	5549	15235
267	5565	15200
268	5583	15172
269	5598	15136
270	5620	15118
271	5639	15093
272	5657	15067
273	5680	15049
274	5698	15023
275	5716	14995
276	5733	14964
277	5753	14942
278	5770	14913
279	5786	14878
280	5803	14850
281	5819	14816
282	5837	14789
283	5859	14771
284	5879	14751
285	5897	14722
286	5912	14688
287	5927	14654
288	5945	14626
289	5963	14599
290	5981	14574
291	5997	14542
292	6013	14511
293	6031	14482
294	6050	14459
295	6070	14438
296	6086	14407
297	6104	14381
298	6120	14349
299	6134	14313
300	6151	14284
301	6169	14259
302	6189	14237
303	6208	14214
304	6226	14187
305	6247	14168
306	6268	14151
307	6288	14129
308	6307	14104
309	6324	14077
310	6342	14051
311	6359	14023
312	6375	13993
313	6394	13970
314	6408	13935
315	6423	13904
316	6443	13883
317	6463	13860
318	6483	13841
319	6502	13818
320	6519	13790
321	6535	13761
322	6552	13733
323	6569	13706
324	6589	13686
325	6605	13656
326	6621	13626
327	6637	13599
328	6655	13574
329	6675	13554
330	6700	13541
