,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ACC0,ACC1,ACC2,GYR0,GYR1,GYR2,ENC0,ENC1,ENC2,ENC3,ENC4,ENC5,BUTTON,SYNC,ts
0,10,8,64,3660,3789,3836,2103,9,6,6,10,21,2767,2164,77,68,2208,1010,13,4,0,828,951,42,16,13,37,1412,897,10,2905,638,35,15,9,6,11,32,890,797,39,24,14,13,10,9,10,12,24,21,-29,-41,71,96,-11,-1,25,28,30,22,20,0,0,12,1154100
1,11,8,65,3662,3793,3842,2106,10,6,5,10,19,2758,2166,77,68,2205,1011,10,5,12,835,961,46,17,14,40,1419,905,16,2923,645,37,14,10,8,12,31,898,802,39,24,14,12,12,10,12,13,26,22,-30,-42,70,97,-10,-1,25,28,30,22,20,0,0,12,1154133
2,11,8,67,3665,3790,3844,2108,10,7,5,10,21,2768,2166,76,67,2209,1006,12,5,11,836,958,45,17,14,39,1421,905,10,2919,647,38,10,10,0,13,34,899,805,40,26,16,13,13,11,8,15,27,26,-30,-42,70,97,-7,-1,25,28,30,22,20,0,0,12,1154166
3,0,7,66,3661,3787,3839,2104,10,5,5,0,20,2759,2159,73,64,2207,1004,12,5,0,827,950,43,16,13,37,1413,896,9,2909,639,40,13,9,8,12,31,891,797,51,26,16,13,13,11,10,16,27,21,-29,-42,71,95,-9,1,25,28,30,22,20,0,0,12,1154199
4,10,9,65,3663,3788,3844,2107,9,5,5,0,20,2772,2169,77,68,2208,1012,11,11,11,836,960,39,17,14,40,1421,904,10,2923,646,37,14,9,8,12,25,898,803,38,24,14,12,11,10,10,14,24,23,-30,-42,70,96,-10,1,25,28,30,22,20,0,0,12,1154232
5,0,8,67,3663,3787,3842,2106,11,6,5,0,21,2763,2156,72,64,2199,1004,12,5,0,828,952,43,16,13,37,1413,897,10,2909,639,36,13,10,8,11,32,890,796,41,33,16,12,12,10,10,14,27,24,-30,-42,70,96,-8,0,25,28,30,22,20,0,0,12,1154265
6,11,8,64,3666,3790,3845,2109,9,6,5,0,20,2763,2160,73,64,2201,1006,11,5,0,827,951,43,15,13,37,1412,896,9,2906,638,35,14,9,8,11,31,889,797,38,36,14,13,12,9,10,13,24,23,-29,-42,71,95,-9,0,25,28,30,22,20,0,0,12,1154298
7,11,9,65,3662,3787,3845,2109,9,6,4,9,21,2772,2169,77,67,2210,1014,18,5,0,828,951,43,16,14,37,1412,898,10,2907,647,35,13,10,9,11,32,890,796,38,24,15,12,11,6,10,14,25,23,-29,-42,70,95,-10,-1,25,28,30,22,20,0,0,12,1154331
8,11,8,65,3666,3790,3846,2109,10,16,6,10,22,2770,2167,77,68,2207,1012,1,4,11,835,960,46,17,13,32,1421,904,10,2921,645,38,15,8,9,12,34,896,803,33,34,14,10,12,9,10,14,25,22,-29,-42,70,95,-8,-1,25,28,30,22,20,0,0,12,1154364
9,10,8,65,3666,3790,3847,2120,10,6,5,9,21,2772,2169,77,68,2212,1014,12,5,0,833,959,45,16,13,41,1421,905,10,2902,644,37,14,11,8,12,35,905,804,38,33,14,11,12,10,9,14,25,22,-29,-42,70,95,-9,-1,25,28,30,22,20,0,0,12,1154397
10,10,8,66,3667,3786,3847,2110,10,6,13,9,21,2774,2171,77,69,2213,1014,12,5,11,835,961,45,16,21,40,1421,903,11,2923,646,37,14,9,8,13,34,895,802,40,26,16,14,13,10,12,14,27,24,-30,-42,71,96,-10,-1,25,28,30,22,20,0,0,12,1154430
11,11,8,67,3667,3787,3853,2111,10,6,6,0,20,2771,2163,73,64,2203,1006,12,5,0,828,953,43,14,13,37,1413,897,10,2907,638,34,15,10,8,12,32,890,798,40,26,16,14,13,10,11,14,28,24,-30,-42,70,95,-9,0,25,28,30,22,20,0,0,12,1154463
12,9,8,65,3669,3789,3849,2112,10,6,5,10,20,2772,2171,68,68,2210,1015,21,4,11,834,959,45,16,14,40,1421,902,10,2920,646,45,15,10,0,12,34,897,804,38,24,16,11,12,10,10,14,25,22,-29,-42,71,95,-10,0,25,28,30,22,20,0,0,12,1154496
13,11,9,67,3666,3787,3855,2112,10,5,7,10,20,2774,2172,76,58,2213,1013,12,4,8,833,961,46,16,13,40,1419,904,10,2921,646,38,14,18,8,9,34,896,802,41,27,6,12,13,11,11,13,24,24,-30,-42,70,95,-10,1,25,28,30,22,20,0,0,12,1154529
14,12,8,67,3667,3786,3851,2125,10,7,6,0,21,2767,2165,73,64,2206,1007,12,4,0,829,951,44,15,13,37,1413,896,10,2904,640,35,13,10,8,12,32,889,797,41,26,16,12,13,11,11,16,27,25,-30,-42,70,95,-8,0,25,28,30,22,20,0,0,12,1154562
15,9,8,66,3665,3787,3852,2113,9,5,5,10,20,2776,2171,78,75,2215,1017,11,5,10,838,960,45,16,14,40,1419,902,10,2903,640,34,13,10,8,12,32,890,796,33,24,14,12,11,10,11,14,24,22,-29,-42,70,94,-7,0,25,28,30,22,20,0,0,12,1154595
16,11,0,66,3663,3785,3849,2109,9,6,6,10,19,2774,2171,77,68,2214,1015,11,4,11,842,961,46,16,14,40,1416,903,10,2920,648,38,15,10,9,11,32,900,805,38,25,24,10,11,10,11,13,26,22,-30,-42,71,92,-9,1,25,28,30,22,20,0,0,12,1154628
17,11,8,66,3659,3785,3838,2109,18,5,4,9,20,2775,2176,77,68,2211,1016,12,4,1,839,953,42,15,14,37,1412,896,9,2901,639,35,14,9,8,11,30,894,796,38,24,22,12,16,10,11,13,24,22,-30,-43,71,90,-8,-1,25,28,30,22,20,0,0,12,1154661
18,12,7,66,3660,3786,3847,2099,10,6,4,9,20,2775,2176,77,68,2215,1017,12,4,0,842,950,46,16,14,40,1418,904,10,2931,648,38,14,10,8,12,33,900,803,35,24,14,11,12,9,11,14,25,23,-29,-42,69,89,-8,-2,25,28,30,22,20,0,0,12,1154694
19,11,5,67,3657,3783,3846,2110,10,6,6,6,20,2772,2172,77,69,2212,1016,12,4,11,841,961,51,18,13,40,1415,904,11,2917,649,38,15,10,8,13,34,898,803,40,26,15,12,13,11,12,15,28,24,-30,-43,69,88,-11,-4,25,28,30,22,20,0,0,12,1154727
