epoch,Thumb,Index,Middle,Ring,Pinky,id
0,0,0,0,0,0,1
1,100,0,0,0,0,2
2,0,0,0,0,0,3
3,0,0,100,100,100,4
4,0,0,0,0,0,5
5,100,100,0,0,0,6
6,0,0,0,0,0,7
7,100,100,100,100,100,8
8,0,0,0,0,0,9
9,0,0,0,0,0,1
10,100,0,0,0,0,2
11,0,0,0,0,0,3
12,0,0,100,100,100,4
13,0,0,0,0,0,5
14,100,100,0,0,0,6
15,0,0,0,0,0,7
16,100,100,100,100,100,8
17,0,0,0,0,0,9
18,0,0,0,0,0,1
19,100,0,0,0,0,2
20,0,0,0,0,0,3
21,0,0,100,100,100,4
22,0,0,0,0,0,5
23,100,100,0,0,0,6
24,0,0,0,0,0,7
25,100,100,100,100,100,8
26,0,0,0,0,0,9
27,0,0,0,0,0,1
28,100,0,0,0,0,2
29,0,0,0,0,0,3
30,0,0,100,100,100,4
31,0,0,0,0,0,5
32,100,100,0,0,0,6
33,0,0,0,0,0,7
34,100,100,100,100,100,8
35,0,0,0,0,0,9
36,0,0,0,0,0,1
37,100,0,0,0,0,2
38,0,0,0,0,0,3
39,0,0,100,100,100,4
40,0,0,0,0,0,5
41,100,100,0,0,0,6
42,0,0,0,0,0,7
43,100,100,100,100,100,8
44,0,0,0,0,0,9
45,0,0,0,0,0,1
46,100,0,0,0,0,2
47,0,0,0,0,0,3
48,0,0,100,100,100,4
49,0,0,0,0,0,5
50,100,100,0,0,0,6
51,0,0,0,0,0,7
52,100,100,100,100,100,8
53,0,0,0,0,0,9
54,0,0,0,0,0,1
55,100,0,0,0,0,2
56,0,0,0,0,0,3
57,0,0,100,100,100,4
58,0,0,0,0,0,5
59,100,100,0,0,0,6
60,0,0,0,0,0,7
61,100,100,100,100,100,8
62,0,0,0,0,0,9
63,0,0,0,0,0,1
64,100,0,0,0,0,2
65,0,0,0,0,0,3
66,0,0,100,100,100,4
67,0,0,0,0,0,5
68,100,100,0,0,0,6
69,0,0,0,0,0,7
70,100,100,100,100,100,8
71,0,0,0,0,0,9
72,0,0,0,0,0,1
73,100,0,0,0,0,2
74,0,0,0,0,0,3
75,0,0,100,100,100,4
76,0,0,0,0,0,5
77,100,100,0,0,0,6
78,0,0,0,0,0,7
79,100,100,100,100,100,8
80,0,0,0,0,0,9
81,0,0,0,0,0,1
82,100,0,0,0,0,2
83,0,0,0,0,0,3
84,0,0,100,100,100,4
85,0,0,0,0,0,5
86,100,100,0,0,0,6
87,0,0,0,0,0,7
88,100,100,100,100,100,8
89,0,0,0,0,0,9
90,0,0,0,0,0,1
91,100,0,0,0,0,2
92,0,0,0,0,0,3
93,0,0,100,100,100,4
94,0,0,0,0,0,5
95,100,100,0,0,0,6
96,0,0,0,0,0,7
97,100,100,100,100,100,8
98,0,0,0,0,0,9
99,0,0,0,0,0,1
100,100,0,0,0,0,2
101,0,0,0,0,0,3
102,0,0,100,100,100,4
103,0,0,0,0,0,5
104,100,100,0,0,0,6
105,0,0,0,0,0,7
106,100,100,100,100,100,8
107,0,0,0,0,0,9
108,0,0,0,0,0,1
109,100,0,0,0,0,2
110,0,0,0,0,0,3
111,0,0,100,100,100,4
112,0,0,0,0,0,5
113,100,100,0,0,0,6
114,0,0,0,0,0,7
115,100,100,100,100,100,8
116,0,0,0,0,0,9
117,0,0,0,0,0,1
118,100,0,0,0,0,2
119,0,0,0,0,0,3
120,0,0,100,100,100,4
121,0,0,0,0,0,5
122,100,100,0,0,0,6
123,0,0,0,0,0,7
124,100,100,100,100,100,8
125,0,0,0,0,0,9
126,0,0,0,0,0,1
127,100,0,0,0,0,2
