year;people;men;women;;;
1926;92,7;44,0;48,7;;;
1939;108,4;51,1;57,3;;;
1959;117,2;52,2;65,0;;;
1970;129,9;59,1;70,8;;;
1979;137,4;63,2;74,2;;;
1989;147,0;68,7;78,3;;;
1991;148,3;69,5;78,8;;;
1996;148,3;69,5;78,8;;;
2001;146,3;68,3;78,0;;;
2002;145,2;67,6;77,6;;;
2003;145,0;67,5;77,5;;;
2004;144,3;67,0;77,3;;;
2005;143,8;66,7;77,1;;;
2006;143,2;66,3;76,9;;;
2007;142,8;66,0;76,8;;;
2008;142,8;66,0;76,8;;;
2009;142,7;65,9;76,8;;;
2010;142,9;66,1;76,8;;;
2011;142,9;66,1;76,8;;;
2012;143,0;66,1;76,9;;;
2013;143,3;66,3;77,0;;;
2014;143,7;66,6;77,1;;;
2015;146,3;67,8;78,5;;;
2016;146,5;67,9;78,6;;;
2017;146,8;68,1;78,7;;;
2018;146,9;68,1;78,8;;;
2019;146,8;68,1;78,7;;;
2020;146,7;68,1;78,6;;;
2021;146,2;67,9;78,3;;;
2022;147,0;68,4;78,6;;;
2023;146,4;68,1;78,3;;;
;;;;;;
