;l_all;l_delta;l_delta_self;l_delta_mig;m_all;m_delta;m_delta_self;m_delta_mig;h_all;h_delta;h_delta_self;h_delta_mig
2021;146412,8;-424,2;-554,1;129,9;146650,1;-113,2;-374,9;261,7;146888,2;190,6;-156,1;346,7
2022;145988,6;-567,9;-662,9;95;146536,9;-164,5;-423,4;258,9;147078,8;203,1;-148,7;351,8
2023;145420,7;-657;-724,6;67,6;146372,4;-236,5;-493,2;256,7;147281,9;163;-192,8;355,8
2024;144763,7;-731,5;-776,6;45,1;146135,9;-277,6;-532,5;254,9;147444,9;137,5;-221,3;358,8
2025;144032,2;-788,2;-823,5;35,3;145858,3;-318,8;-572,2;253,4;147582,4;131,4;-230,4;361,8
2026;143244;-831,7;-859,9;28,2;145539,5;-328,6;-583,2;254,6;147713,8;132,4;-232,3;364,7
2027;142412,3;-856,6;-883,5;26,9;145210,9;-328;-583,5;255,5;147846,2;144,3;-223,5;367,8
2028;141555,7;-876,2;-901,6;25,4;144882,9;-313,8;-570,4;256,6;147990,5;169,2;-201,5;370,7
2029;140679,5;-892;-916,1;24,1;144569,1;-295,1;-552,5;257,4;148159,7;201,3;-172,6;373,9
2030;139787,5;-904,1;-926,7;22,6;144274;-276,8;-535,3;258,5;148361;227,6;-149,2;376,8
2031;138883,4;-915,1;-936,3;21,2;143997,2;-257,3;-516,8;259,5;148588,6;250,9;-127,8;378,7
2032;137968,3;-920,6;-940,5;19,9;143739,9;-233,2;-493,7;260,5;148839,5;277,2;-103,5;380,7
2033;137047,7;-922,8;-941,3;18,5;143506,7;-205,3;-466,7;261,4;149116,7;306,7;-76,1;382,8
2034;136124,9;-923,2;-940,2;17;143301,4;-173,2;-435,6;262,4;149423,4;337,4;-47,4;384,8
2035;135201,7;-924,5;-940,2;15,7;143128,2;-134,9;-398,5;263,6;149760,8;365,5;-21,3;386,8
2036;134277,2;;;;142993,3;;;;150126,3;;;
