Date,Value
2023-08-17,15924
2023-08-18,16198
2023-08-21,16262
2023-08-22,16270
2023-08-23,16010
2023-08-24,16082
2023-08-25,16144
2023-08-28,16780
2023-08-29,16628
2023-08-30,16680
2023-08-31,16832
2023-09-01,16786
2023-09-04,17112
2023-09-05,17060
2023-09-06,16900
2023-09-07,16466
2023-09-08,16320
2023-09-11,16250
2023-09-12,16470
2023-09-13,16392
2023-09-14,16300
2023-09-15,16436
2023-09-18,16308
2023-09-19,15998
2023-09-20,16190
2023-09-21,16018
2023-09-22,15992
2023-09-25,15872
2023-09-26,15946
2023-09-27,16074
2023-09-28,16304
2023-09-29,16188
2023-10-02,16172
2023-10-03,16168
2023-10-04,16030
2023-10-05,16172
2023-10-06,16268
2023-10-09,16256
2023-10-10,16294
2023-10-11,16126
2023-10-12,16278
2023-10-13,16284
2023-10-16,16432
2023-10-17,16520
2023-10-18,16472
2023-10-19,16788
2023-10-20,17122
2023-10-23,17108
2023-10-24,17196
2023-10-25,17460
2023-10-26,17250
2023-10-27,17506
2023-10-30,17572
2023-10-31,17574
2023-11-01,17804
2023-11-02,18078
2023-11-03,17898
2023-11-06,17764
2023-11-07,17690
2023-11-08,17460
2023-11-09,17412
2023-11-10,17344
2023-11-13,17410
2023-11-14,17178
2023-11-15,17136
2023-11-16,17008
2023-11-17,16954
