site	dwell-time
0	2
1	48
0	15
1	16
0	38
1	169
0	571
1	38
0	233
0	146
1	336
0	57
0	54
0	75
1	55
0	138
1	2
0	6
0	30
1	32
1	21
0	369
0	76
1	162
1	23
1	190
1	107
1	30
1	145
0	25
0	233
0	32
0	7
0	97
1	21
0	79
0	86
1	78
0	23
0	13
1	244
1	68
0	34
1	85
0	112
0	298
1	72
1	6
1	44
1	53
0	11
0	80
1	140
0	29
0	5
0	19
1	24
1	22
0	192
0	18
0	110
0	40
0	404
0	30
0	43
0	129
0	7
0	227
0	138
0	185
0	16
0	145
0	9
0	48
0	158
0	79
0	35
0	73
1	13
1	80
1	2
1	289
1	34
1	28
1	5
1	1
1	92
1	67
1	25
0	149
1	232
0	92
0	19
0	57
0	67
0	6
0	34
0	18
1	43
0	6
0	68
1	131
0	50
1	128
1	131
1	123
0	136
0	10
0	28
0	213
0	57
0	170
0	115
1	66
1	47
1	112
1	37
1	48
1	14
1	46
1	72
1	69
1	16
1	140
1	114
1	63
0	536
0	91
0	222
0	15
1	28
0	31
0	22
1	46
1	11
0	24
1	41
0	8
0	57
1	55
1	259
0	63
0	107
1	50
0	540
0	34
0	51
1	113
0	6
0	489
0	147
1	154
0	29
0	49
0	134
0	12
0	41
1	91
1	83
0	196
0	30
1	121
0	27
1	725
0	50
0	74
0	75
0	66
0	13
0	38
0	74
1	109
0	132
0	37
0	41
0	66
1	47
0	3
0	3
0	35
0	8
0	22
0	36
0	241
1	6
1	120
1	300
1	3
1	23
1	53
1	155
0	40
1	46
1	21
0	75
0	70
1	49
0	140
0	140
0	18
1	1
0	67
0	52
0	62
0	44
0	4
0	82
0	61
1	107
0	12
0	55
0	116
0	4
1	85
0	127
1	17
0	147
0	19
1	3
0	268
1	29
0	23
0	117
1	26
0	70
0	53
1	12
0	137
1	3
0	113
0	172
1	200
0	174
1	135
0	133
0	45
0	117
0	103
0	16
1	12
0	5
0	105
0	66
0	277
0	156
0	285
0	64
1	8
1	60
0	70
0	30
0	95
1	22
0	68
1	7
0	8
1	19
0	5
0	27
0	60
1	122
1	83
0	46
0	61
1	148
0	11
0	149
1	186
1	110
0	17
0	51
1	107
0	33
1	106
0	72
0	148
0	153
1	366
0	43
1	238
1	100
1	187
1	11
1	70
0	155
0	5
0	470
0	28
0	388
0	197
0	3
1	100
0	25
0	2
0	39
0	22
0	7
1	144
0	89
0	138
