date,cum_power
2017-01-01,20111.0
2017-01-02,20112.0
2017-01-03,20115.0
2017-01-04,20117.0
2017-01-05,20119.0
2017-01-06,20125.0
2017-01-07,20129.0
2017-01-08,20130.0
2017-01-09,20131.0
2017-01-10,20132.0
2017-01-11,20133.0
2017-01-12,20135.0
2017-01-13,20137.0
2017-01-14,20139.0
2017-01-15,20141.0
2017-01-16,20143.0
2017-01-17,20145.0
2017-01-18,20150.0
2017-01-19,20156.0
2017-01-20,20162.0
2017-01-21,20169.0
2017-01-22,20175.0
2017-01-23,20180.0
2017-01-24,20183.0
2017-01-25,20184.0
2017-01-26,20186.0
2017-01-27,20193.0
2017-01-28,20197.0
2017-01-29,20201.0
2017-01-30,20208.0
2017-01-31,20208.0
2017-02-01,20210.0
2017-02-02,20212.0
2017-02-03,20216.0
2017-02-04,20222.0
2017-02-05,20223.0
2017-02-06,20226.0
2017-02-07,20228.0
2017-02-08,20229.0
2017-02-09,20230.0
2017-02-10,20232.0
2017-02-11,20234.0
2017-02-12,20235.0
2017-02-13,20238.0
2017-02-14,20248.0
2017-02-15,-1.0
2017-02-16,20262.0
2017-02-17,20271.0
2017-02-18,20275.0
2017-02-19,20281.0
2017-02-20,20284.0
2017-02-21,20286.0
2017-02-22,20288.0
2017-02-23,20289.0
2017-02-24,20292.0
2017-02-25,20302.0
2017-02-26,20307.0
2017-02-27,20310.0
2017-02-28,20312.0
2017-03-01,20318.0
2017-03-02,20323.0
2017-03-03,20327.0
2017-03-04,20331.0
2017-03-05,20335.0
2017-03-06,20337.0
2017-03-07,20342.0
2017-03-08,20352.0
2017-03-09,20353.0
2017-03-10,20362.0
2017-03-11,20375.0
2017-03-12,20383.0
2017-03-13,20399.0
2017-03-14,20411.0
2017-03-15,20418.0
2017-03-16,20433.0
2017-03-17,20449.0
2017-03-18,20461.0
2017-03-19,20464.0
2017-03-20,20468.0
2017-03-21,20475.0
2017-03-22,20487.0
2017-03-23,20500.0
2017-03-24,20518.0
2017-03-25,20538.0
2017-03-26,20558.0
2017-03-27,20578.0
2017-03-28,20599.0
2017-03-29,20616.0
2017-03-30,20626.0
2017-03-31,20646.0
2017-04-01,20652.0
2017-04-02,20662.0
2017-04-03,20681.0
2017-04-04,20698.0
2017-04-05,20716.0
2017-04-06,20729.0
2017-04-07,20741.0
2017-04-08,20750.0
2017-04-09,20773.0
2017-04-10,20796.0
2017-04-11,20811.0
2017-04-12,20823.0
2017-04-13,20835.0
2017-04-14,20857.0
2017-04-15,20866.0
2017-04-16,20883.0
2017-04-17,20899.0
2017-04-18,20923.0
2017-04-19,20943.0
2017-04-20,20961.0
2017-04-21,20987.0
2017-04-22,20995.0
2017-04-23,21010.0
2017-04-24,21020.0
2017-04-25,21038.0
2017-04-26,21064.0
2017-04-27,21083.0
2017-04-28,21101.0
2017-04-29,21119.0
2017-04-30,21135.0
2017-05-01,21157.0
2017-05-02,21167.0
2017-05-03,21174.0
2017-05-04,21188.0
2017-05-05,21203.0
2017-05-06,21213.0
2017-05-07,21233.0
2017-05-08,21240.0
2017-05-09,21255.0
2017-05-10,21280.0
2017-05-11,21308.0
2017-05-12,21322.0
2017-05-13,21341.0
2017-05-14,21355.0
2017-05-15,21373.0
2017-05-16,21390.0
2017-05-17,21410.0
2017-05-18,21433.0
2017-05-19,21446.0
2017-05-20,21455.0
2017-05-21,21483.0
2017-05-22,21507.0
2017-05-23,21530.0
2017-05-24,21558.0
2017-05-25,21585.0
2017-05-26,21614.0
2017-05-27,21643.0
2017-05-28,21667.0
2017-05-29,21689.0
2017-05-30,21708.0
2017-05-31,21724.0
2017-06-01,21745.0
2017-06-02,21769.0
2017-06-03,21794.0
2017-06-04,21808.0
2017-06-05,21832.0
2017-06-06,21854.0
2017-06-07,21874.0
2017-06-08,21893.0
2017-06-09,21916.0
2017-06-10,21941.0
2017-06-11,21972.0
2017-06-12,21989.0
2017-06-13,21998.0
2017-06-14,22022.0
2017-06-15,22051.0
2017-06-16,22078.0
2017-06-17,22100.0
2017-06-18,22127.0
2017-06-19,22153.0
2017-06-20,22180.0
2017-06-21,22205.0
2017-06-22,22231.0
2017-06-23,22257.0
2017-06-24,22283.0
2017-06-25,22290.0
2017-06-26,22301.0
2017-06-27,22320.0
2017-06-28,22341.0
2017-06-29,22354.0
2017-06-30,22369.0
2017-07-01,22384.0
2017-07-02,22389.0
2017-07-03,22410.0
2017-07-04,22435.0
2017-07-05,22459.0
2017-07-06,22485.0
2017-07-07,22501.0
2017-07-08,22526.0
2017-07-09,22550.0
2017-07-10,22572.0
2017-07-11,22586.0
2017-07-12,22598.0
2017-07-13,22616.0
2017-07-14,22640.0
2017-07-15,22654.0
2017-07-16,22666.0
2017-07-17,22680.0
2017-07-18,22700.0
2017-07-19,22727.0
2017-07-20,22745.0
2017-07-21,22764.0
2017-07-22,22789.0
2017-07-23,22801.0
2017-07-24,22817.0
2017-07-25,22836.0
2017-07-26,22850.0
2017-07-27,22869.0
2017-07-28,22890.0
2017-07-29,22900.0
2017-07-30,22910.0
2017-07-31,22931.0
2017-08-01,22954.0
2017-08-02,22971.0
2017-08-03,22980.0
2017-08-04,23004.0
2017-08-05,23021.0
2017-08-06,23035.0
2017-08-07,23055.0
2017-08-08,23080.0
2017-08-09,23083.0
2017-08-10,23103.0
2017-08-11,23108.0
2017-08-12,23125.0
2017-08-13,23134.0
2017-08-14,23148.0
2017-08-15,23169.0
2017-08-16,23181.0
2017-08-17,23198.0
2017-08-18,23205.0
2017-08-19,23218.0
2017-08-20,23231.0
2017-08-21,23245.0
2017-08-22,23255.0
2017-08-23,23274.0
2017-08-24,23288.0
2017-08-25,23305.0
2017-08-26,23320.0
2017-08-27,23335.0
2017-08-28,23353.0
2017-08-29,23372.0
2017-08-30,23391.0
2017-08-31,23398.0
2017-09-01,23411.0
2017-09-02,23422.0
2017-09-03,23438.0
2017-09-04,23452.0
2017-09-05,23459.0
2017-09-06,23466.0
2017-09-07,23474.0
2017-09-08,23485.0
2017-09-09,23488.0
2017-09-10,23501.0
2017-09-11,23512.0
2017-09-12,23522.0
2017-09-13,23541.0
2017-09-14,23557.0
2017-09-15,23562.0
2017-09-16,23577.0
2017-09-17,23585.0
2017-09-18,23597.0
2017-09-19,23606.0
2017-09-20,23617.0
2017-09-21,23631.0
2017-09-22,23646.0
2017-09-23,23657.0
2017-09-24,23674.0
2017-09-25,23691.0
2017-09-26,23705.0
2017-09-27,23720.0
2017-09-28,23728.0
2017-09-29,23735.0
2017-09-30,23744.0
2017-10-01,23751.0
2017-10-02,23756.0
2017-10-03,23765.0
2017-10-04,23780.0
2017-10-05,23787.0
